orderID|coupon1Used|coupon2Used|coupon3Used|basketValue
6397|1|1|0|189.04
6398|1|0|0|112.26
6399|1|1|0|185.38
6400|0|0|0|129.67
6401|1|0|0|1162.66
6402|1|0|0|162.36
6403|0|0|0|201.82
6404|0|0|0|193.25
6405|0|0|0|612.91
6406|0|0|0|205.15
6407|0|0|0|245.07
6408|1|1|1|110.73
6409|0|0|0|234.88
6410|0|0|0|208.86
6411|0|0|0|476.53
6412|1|0|0|206.96
6413|1|0|1|98.87
6414|1|0|1|234
6415|1|1|0|187.23
6416|1|1|0|474.26
6417|0|0|0|136.34
6418|0|0|0|191.21
6419|0|1|0|172.92
6420|1|0|1|315.6
6421|0|0|0|251.83
6422|0|0|0|205.52
6423|0|1|1|481.25
6424|1|0|0|189.64
6425|0|0|0|243.73
6426|0|0|0|225.95
6427|1|1|0|191.26
6428|0|0|0|211.96
6429|0|0|0|192.14
6430|1|0|0|280.68
6431|0|0|0|132.22
6432|0|0|0|279.76
6433|0|0|0|502.37
6434|0|0|0|234.42
6435|1|0|0|370.39
6436|0|0|0|271.42
6437|0|0|0|361.36
6438|0|0|0|302.4
6439|0|1|0|361.73
6440|0|0|0|199.23
6441|1|0|0|99.52
6442|0|0|0|140.69
6443|0|1|0|186.63
6444|0|0|0|192.33
6445|0|0|0|194.69
6446|0|0|0|208.07
6447|0|0|0|761.61
6448|0|0|0|188.99
6449|1|1|1|217.38
6450|0|0|0|96.6
6451|0|1|1|263.46
6452|0|0|0|104.2
6453|0|0|0|133.6
6454|0|0|0|173.94
6455|0|0|0|98.36
6456|1|0|0|242.25
6457|0|0|0|300.09
6458|0|0|0|93.27
6459|0|0|0|282.54
6460|0|0|0|264.15
6461|0|1|1|186.44
6462|0|1|0|232.06
6463|0|0|0|586.01
6464|1|1|0|368.07
6465|0|0|0|266.84
6466|0|0|0|282.44
6467|0|0|1|295.04
6468|0|0|0|220.2
6469|0|0|0|151.29
6470|0|0|0|185.89
6471|0|0|0|154.21
6472|1|1|1|186.03
6473|0|0|0|183.34
6474|0|0|0|393.5
6475|1|1|0|194.92
6476|0|0|0|237.8
6477|0|0|0|146.25
6478|0|0|0|189.36
6479|0|0|0|184.45
6480|0|0|0|11063.92
6481|0|0|0|234.28
6482|0|0|0|112.67
6483|0|0|0|463.56
6484|0|0|0|148.28
6485|0|0|0|188.94
6486|0|1|0|227.34
6487|0|0|0|210.8
6488|0|0|0|196.03
6489|0|0|0|252.48
6490|0|1|1|186.35
6491|0|0|1|191.49
6492|0|0|1|256.28
6493|0|0|0|188.48
6494|0|0|0|284.67
6495|0|1|0|134.67
6496|0|0|0|533.86
6497|0|0|0|202
6498|0|0|0|192.37
6499|0|0|0|782.87
6500|0|0|0|338.39
6501|1|0|0|185.56
6502|0|0|0|296.2
6503|0|0|0|248.36
6504|0|1|0|185.47
6505|0|0|0|231.64
6506|0|0|0|140.5
6507|0|0|1|187.88
6508|0|0|0|205.01
6509|0|0|0|185.47
6510|0|0|0|216.27
6511|0|0|0|191.31
6512|0|0|0|228.49
6513|0|0|0|209.6
6514|0|0|0|267.39
6515|0|0|0|186.58
6516|0|0|0|747.12
6517|0|0|1|507.6
6518|0|0|0|443.42
6519|0|0|0|93.27
6520|0|0|0|100.03
6521|1|0|0|199.83
6522|0|0|0|315.23
6523|0|1|0|158.29
6524|0|0|0|135.18
6525|0|0|0|331.02
6526|0|1|0|186.81
6527|0|0|1|185.89
6528|1|1|1|298.47
6529|0|0|0|187.93
6530|0|0|0|198.62
6531|1|0|1|717.76
6532|0|0|0|456.43
6533|0|0|0|141.2
6534|0|1|0|343.9
6535|0|0|0|96.79
6536|0|1|0|423.74
6537|0|0|0|335.98
6538|0|1|0|421.93
6539|0|0|0|209.46
6540|0|0|0|190.66
6541|0|0|0|245.17
6542|1|0|0|296.11
6543|0|1|0|227.29
6544|0|0|0|116.98
6545|1|0|0|186.86
6546|0|0|0|215.76
6547|0|0|0|187.56
6548|0|0|0|111.42
6549|0|0|0|131.66
6550|0|0|0|195.29
6551|0|0|0|140.13
6552|0|0|0|193.76
6553|0|0|0|188.39
6554|0|1|0|246.09
6555|0|0|0|664.69
6556|0|0|0|140.97
6557|0|0|0|504.83
6558|0|0|1|218.63
6559|1|0|1|188.76
6560|1|0|0|234.7
6561|0|0|0|189.18
6562|0|0|0|910.78
6563|0|0|0|283.83
6564|0|0|0|176.07
6565|0|0|0|267.3
6566|0|0|0|186.35
6567|0|0|0|217.89
6568|1|0|0|185.7
6569|0|0|0|144.63
6570|0|0|0|305.51
6571|0|0|0|188.2
6572|0|0|0|5149.35
6573|0|0|0|355.94
6574|0|0|0|315.7
6575|0|0|0|742.12
6576|0|0|0|415.49
6577|0|0|0|204.64
6578|0|0|1|212.52
6579|1|0|0|227.89
6580|0|0|0|219.23
6581|0|0|0|279.57
6582|0|0|0|151.34
6583|0|0|0|502.09
6584|1|0|0|626.9
6585|1|0|0|131.75
6586|0|0|0|235.07
6587|0|0|0|642.97
6588|0|1|0|300.04
6589|0|0|0|474.72
6590|0|0|0|189.22
6591|0|0|0|189.41
6592|0|0|0|223.58
6593|0|0|0|286.47
6594|0|0|0|219.42
6595|0|0|0|479.59
6596|0|0|0|427.53
6597|0|0|0|187.6
6598|1|1|1|188.06
6599|0|0|0|858.49
6600|0|1|0|192.97
6601|0|0|0|362.14
6602|0|1|0|262.21
6603|1|1|1|177.32
6604|0|1|0|199.23
6605|0|0|0|205.25
6606|0|0|0|236.37
6607|0|0|0|228.49
6608|0|0|0|311.57
6609|0|0|0|156.67
6610|1|1|1|185.98
6611|0|0|0|337.51
6612|1|0|0|246.51
6613|1|1|0|190.8
6614|0|0|0|188.25
6615|0|1|0|193.81
6616|0|0|0|186.63
6617|0|0|0|197.98
6618|1|0|1|187.93
6619|0|0|0|210.94
6620|1|0|0|322.87
6621|0|0|0|111.61
6622|0|0|0|194.69
6623|0|0|0|174.64
6624|0|0|0|191.58
6625|0|0|0|411.65
6626|0|0|0|300.37
6627|0|0|0|136.06
6628|0|1|0|204.69
6629|1|0|0|98.83
6630|0|1|0|198.02
6631|0|0|0|242.76
6632|0|0|0|140.83
6633|0|0|1|186.35
6634|1|1|0|186.03
6635|0|0|1|314.91
6636|0|0|0|190.7
6637|0|0|0|230.62
6638|1|0|0|1947.57
6639|0|0|0|166.99
6640|0|0|0|191.72
6641|0|0|0|236.97
6642|0|0|0|286.89
6643|0|0|0|187.6
6644|0|0|0|240.12
6645|0|1|0|232.71
6646|0|0|0|258.73
6647|0|0|0|488.25
6648|1|0|0|192.33
6649|0|0|0|189.32
6650|0|0|0|152.22
6651|0|0|0|345.43
6652|0|0|0|215.39
6653|0|0|0|191.03
6654|1|0|0|190.84
6655|0|0|0|185.8
6656|0|0|1|324.54
6657|0|0|0|189.87
6658|0|0|0|103.5
6659|0|0|0|413.13
6660|0|1|1|187.42
6661|0|0|0|187.74
6662|1|1|0|191.35
6663|0|0|0|192.09
6664|1|0|0|218.12
6665|1|0|1|902.63
6666|0|0|1|200.85
6667|0|0|0|237.62
6668|0|0|0|211.08
6669|1|1|0|110.73
6670|0|0|0|98.22
6671|0|0|0|171.86
6672|0|1|1|216.87
6673|0|1|0|97.39
6674|0|0|0|205.48
6675|0|0|0|195.15
6676|0|0|0|156.2
6677|0|0|0|186.21
6678|0|0|0|257.34
6679|1|1|0|327.92
6680|0|0|0|235.72
6681|0|0|0|1965.58
6682|1|0|0|215.11
6683|0|0|0|302.5
6684|0|0|1|293.98
6685|0|0|0|245.07
6686|0|0|0|501.35
6687|0|0|0|189.78
6688|1|0|0|511.08
6689|0|0|0|187.69
6690|0|0|0|217.1
6691|0|1|0|451.75
6692|0|0|0|188.94
6693|0|0|0|459.86
6694|0|0|0|231.18
6695|0|0|1|322.27
6696|0|0|0|154.49
6697|0|0|0|322.36
6698|0|1|0|276.84
6699|0|0|0|1758.07
6700|0|0|0|221.87
6701|0|0|0|188.25
6702|0|0|0|215.8
6703|0|0|0|338.02
6704|0|0|0|101.05
6705|0|0|0|145.37
6706|0|0|0|704.88
6707|0|0|0|185.47
6708|0|0|1|185.7
6709|1|0|0|445.41
6710|0|0|0|184.82
6711|1|0|0|232.15
6712|0|0|0|114.66
6713|0|0|0|341.81
6714|0|0|0|211.31
6715|0|0|0|194.83
6716|0|1|1|225.39
6717|0|0|0|198.76
6718|0|0|0|139.35
6719|0|1|1|506.77
6720|0|1|0|579.38
6721|1|1|0|190.15
6722|0|0|0|294.9
